,ICAO,Name,Country,Region,Latitude,Longitude,Ctemp,Snow,RGBA,Sunrise,Sunset
0,KMIA,Miami International Airport,US,FL,25.7833,-80.3167,28.5,,"[0.5, 0.0, 0.0, 1.0]",2024-11-11 11:37:12+00:00,2024-11-10 22:33:36+00:00
1,KTPA,Tampa International Airport,US,FL,27.9667,-82.5333,28.1,,"[0.517825311942959, 0.0, 0.0, 1.0]",2024-11-11 11:49:12+00:00,2024-11-10 22:39:00+00:00
2,KSKF,San Antonio / Lackland Air Force Base,US,TX,29.3842,-98.5812,23.4,,"[0.8921568627450983, 0.0, 0.0, 1.0]",2024-11-11 12:55:48+00:00,2024-11-10 23:40:48+00:00
3,KMCJ,John Dunn Helistop,US,TX,29.714,-95.395,24.1,,"[0.8386809269162212, 0.0, 0.0, 1.0]",2024-11-11 12:43:48+00:00,2024-11-10 23:27:36+00:00
4,KMSY,New Orleans Airport,US,LA,30.0,-90.0833,23.7,,"[0.8565062388591802, 0.0, 0.0, 1.0]",2024-11-11 12:22:48+00:00,2024-11-10 23:06:00+00:00
5,KNIP,Jacksonville Naval Air Station,US,FL,30.2347,-81.6746,25.5,,"[0.7317290552584672, 0.0, 0.0, 1.0]",2024-11-11 11:49:48+00:00,2024-11-10 22:31:48+00:00
6,KATT,Camp Mabry/Austin City Asos,US,TX,30.3167,-97.7667,22.1,,"[0.9812834224598939, 0.058823529411765274, 0.0, 1.0]",2024-11-11 12:54:00+00:00,2024-11-10 23:36:00+00:00
7,KMOB,Mobile Regional Airport,US,AL,30.6833,-88.0667,22.2,,"[0.9812834224598939, 0.058823529411765274, 0.0, 1.0]",2024-11-11 12:16:12+00:00,2024-11-10 22:56:24+00:00
8,KELP,El Paso International Airport,US,TX,31.8167,-106.3833,14.0,,"[1.0, 0.5671750181554105, 0.0, 1.0]",2024-11-11 13:31:12+00:00,2024-11-11 00:07:48+00:00
9,KSAV,Savannah Airport,US,GA,32.1167,-81.0333,25.0,,"[0.7673796791443852, 0.0, 0.0, 1.0]",2024-11-11 11:50:24+00:00,2024-11-10 22:25:48+00:00
10,KHKS,Jackson / Northwest Hills,US,MS,32.3348,-90.2225,20.4,,"[1.0, 0.1750181554103124, 0.0, 1.0]",2024-11-11 12:27:36+00:00,2024-11-10 23:02:24+00:00
11,KCNM,Carlsbad / Livingston Wheeler,US,NM,32.3375,-104.2633,13.0,,"[1.0, 0.6397966594045028, 0.0, 1.0]",2024-11-11 13:24:00+00:00,2024-11-10 23:58:12+00:00
12,KDTN,Shreveport,US,LA,32.5402,-93.745,19.0,,"[1.0, 0.26216412490922314, 0.0, 1.0]",2024-11-11 12:42:00+00:00,2024-11-10 23:16:12+00:00
13,KJZI,Charleston / Grimball Shores,US,SC,32.701,-80.0033,22.1,,"[0.9812834224598939, 0.058823529411765274, 0.0, 1.0]",2024-11-11 11:47:24+00:00,2024-11-10 22:21:00+00:00
14,KSAN,San Diego International Airport,US,CA,32.7333,-117.1833,17.8,,"[1.0, 0.33478576615831535, 0.0, 1.0]",2024-11-11 14:16:12+00:00,2024-11-11 00:49:12+00:00
15,KDAL,Dallas / Oldham,US,TX,32.8471,-96.8518,17.0,,"[1.0, 0.3783587509077707, 0.0, 1.0]",2024-11-11 12:55:12+00:00,2024-11-10 23:27:36+00:00
16,KPHX,Phoenix Sky Harbor Airport,US,AZ,33.4333,-112.05,20.3,,"[1.0, 0.1750181554103124, 0.0, 1.0]",2024-11-11 13:57:00+00:00,2024-11-11 00:27:36+00:00
17,KBHM,Birmingham Airport,US,AL,33.5667,-86.75,22.7,,"[0.9456327985739753, 0.029774872912127992, 0.0, 1.0]",2024-11-11 12:15:36+00:00,2024-11-10 22:46:12+00:00
18,KFTY,Atlanta / Carroll Heights,US,GA,33.7791,-84.5214,20.6,,"[1.0, 0.16049382716049398, 0.0, 1.0]",2024-11-11 12:07:12+00:00,2024-11-10 22:36:36+00:00
19,KSLI,Los Alamitos,US,CA,33.79,-118.0514,12.2,,"[1.0, 0.6833696441539581, 0.0, 1.0]",2024-11-11 14:21:36+00:00,2024-11-11 00:51:00+00:00
20,KCUB,Columbia / Arthurtown,US,SC,33.9705,-80.9952,22.5,,"[0.9634581105169343, 0.04429920116194641, 0.0, 1.0]",2024-11-11 11:53:24+00:00,2024-11-10 22:22:12+00:00
21,KILM,Wilmington / The Palms Mobile Home Park,US,NC,34.2706,-77.9026,21.0,,"[1.0, 0.13144517066085715, 0.0, 1.0]",2024-11-11 11:42:00+00:00,2024-11-10 22:09:36+00:00
22,KHOT,Hot Springs / Rockwell,US,AR,34.478,-93.0962,16.9,,"[1.0, 0.39288307915758913, 0.0, 1.0]",2024-11-11 12:43:12+00:00,2024-11-10 23:09:36+00:00
23,KABQ,Albuquerque International  Airport,US,NM,35.0333,-106.6,7.6,,"[0.9582542694497153, 0.973856209150327, 0.009487666034155628, 1.0]",2024-11-11 13:37:48+00:00,2024-11-11 00:03:00+00:00
24,KMEM,Memphis International Airport,US,TN,35.0333,-89.9833,18.2,,"[1.0, 0.3057371096586785, 0.0, 1.0]",2024-11-11 12:31:48+00:00,2024-11-10 22:56:24+00:00
25,KFLG,Flagstaff / Fort Tuthill,US,AZ,35.1403,-111.6693,7.6,,"[0.9582542694497153, 0.973856209150327, 0.009487666034155628, 1.0]",2024-11-11 13:58:48+00:00,2024-11-11 00:22:48+00:00
26,KCLT,Charlotte/Douglas International Airport,US,NC,35.214,-80.9431,20.5,,"[1.0, 0.16049382716049398, 0.0, 1.0]",2024-11-11 11:55:48+00:00,2024-11-10 22:19:48+00:00
27,KAMA,Amarillo International  Airport,US,TX,35.2167,-101.7167,12.9,,"[1.0, 0.6397966594045028, 0.0, 1.0]",2024-11-11 13:18:36+00:00,2024-11-10 23:42:36+00:00
28,KTIK,Tinker Air Force Base,US,OK,35.4167,-97.3833,15.2,,"[1.0, 0.4945533769063183, 0.0, 1.0]",2024-11-11 13:01:48+00:00,2024-11-10 23:25:12+00:00
29,KRDU,Raleigh-Durham International  Airport,US,NC,35.9,-78.7667,21.2,,"[1.0, 0.11692084241103862, 0.0, 1.0]",2024-11-11 11:48:36+00:00,2024-11-10 22:09:36+00:00
30,KDKX,Knoxville / Island Home,US,TN,35.9638,-83.8737,18.4,,"[1.0, 0.2912127814088604, 0.0, 1.0]",2024-11-11 12:09:00+00:00,2024-11-10 22:30:00+00:00
31,KJWN,John C Tune / Jordonia,US,TN,36.1824,-86.8867,16.4,,"[1.0, 0.4219317356572261, 0.0, 1.0]",2024-11-11 12:21:36+00:00,2024-11-10 22:41:24+00:00
32,KTUL,Tulsa International Airport,US,OK,36.2,-95.8881,15.2,,"[1.0, 0.4945533769063183, 0.0, 1.0]",2024-11-11 12:57:36+00:00,2024-11-10 23:17:24+00:00
33,KVGT,Las Vegas / Eastland Heights,US,NV,36.2107,-115.1944,13.8,,"[1.0, 0.5816993464052289, 0.0, 1.0]",2024-11-11 14:15:00+00:00,2024-11-11 00:34:48+00:00
34,KFAT,Fresno Air Terminal,US,CA,36.7833,-119.7167,13.4,,"[1.0, 0.6107480029048659, 0.0, 1.0]",2024-11-11 14:34:12+00:00,2024-11-11 00:51:36+00:00
35,KNTU,Virginia Beach / Gatewood Park,US,VA,36.8227,-76.0319,19.5,,"[1.0, 0.2331154684095862, 0.0, 1.0]",2024-11-11 11:39:00+00:00,2024-11-10 21:57:00+00:00
36,KSGF,Springfield-Branson National,US,MO,37.2333,-93.05,13.6,,"[1.0, 0.5962236746550474, 0.0, 1.0]",2024-11-11 12:48:00+00:00,2024-11-10 23:04:12+00:00
37,KROA,Roanoke Regional Airport,US,VA,37.3167,-79.9667,20.7,,"[1.0, 0.14596949891067557, 0.0, 1.0]",2024-11-11 11:55:48+00:00,2024-11-10 22:12:00+00:00
38,KRIC,Richmond International  Airport,US,VA,37.5167,-77.3167,19.6,,"[1.0, 0.21859114015976777, 0.0, 1.0]",2024-11-11 11:45:36+00:00,2024-11-10 22:00:36+00:00
39,KOAK,Metro Oakland International  Airport,US,CA,37.7167,-122.2333,14.8,,"[1.0, 0.5236020334059556, 0.0, 1.0]",2024-11-11 14:46:12+00:00,2024-11-11 01:00:00+00:00
40,KAAO,Wichita / Minneha,US,KS,37.7476,-97.2211,14.3,,"[1.0, 0.5526506899055921, 0.0, 1.0]",2024-11-11 13:06:00+00:00,2024-11-10 23:19:48+00:00
41,KSDF,Standiford Field,US,KY,38.1833,-85.7333,15.4,,"[1.0, 0.48002904865649987, 0.0, 1.0]",2024-11-11 12:21:00+00:00,2024-11-10 22:33:00+00:00
42,KCRW,Yeager Airport,US,WV,38.3667,-81.6,16.2,,"[1.0, 0.4364560639070445, 0.0, 1.0]",2024-11-11 12:04:48+00:00,2024-11-10 22:16:12+00:00
43,KSAC,Sacramento Executive Airport,US,CA,38.5,-121.5,11.7,,"[1.0, 0.712418300653595, 0.0, 1.0]",2024-11-11 14:44:24+00:00,2024-11-11 00:55:12+00:00
44,KCPS,Cahokia / Maplewood Park,US,IL,38.5707,-90.1562,13.8,,"[1.0, 0.5816993464052289, 0.0, 1.0]",2024-11-11 12:39:00+00:00,2024-11-10 22:49:48+00:00
45,KLUK,Cincinnati / Columbia,US,OH,39.1033,-84.4186,13.9,,"[1.0, 0.5816993464052289, 0.0, 1.0]",2024-11-11 12:17:24+00:00,2024-11-10 22:25:48+00:00
46,KMKC,Kansas City / Harlem,US,MO,39.1232,-94.5928,12.8,,"[1.0, 0.6543209876543212, 0.0, 1.0]",2024-11-11 12:58:12+00:00,2024-11-10 23:06:36+00:00
47,KGJT,Grand Junction Walker Field,US,CO,39.1333,-108.5333,6.3,,"[0.8823529411764705, 1.0, 0.08538899430740043, 1.0]",2024-11-11 13:54:00+00:00,2024-11-11 00:02:24+00:00
48,KDMH,Baltimore,US,MD,39.2833,-76.6167,19.3,,"[1.0, 0.2331154684095862, 0.0, 1.0]",2024-11-11 11:46:48+00:00,2024-11-10 21:54:00+00:00
49,K41U,Manti-Ephraim Airport,US,UT,39.3313,-111.6127,4.5,,"[0.7811511701454774, 1.0, 0.18659076533839347, 1.0]",2024-11-11 14:06:36+00:00,2024-11-11 00:13:48+00:00
50,KCBK,Colby,US,KS,39.4274,-101.0466,8.7,,"[1.0, 0.9012345679012348, 0.0, 1.0]",2024-11-11 13:24:36+00:00,2024-11-10 23:31:48+00:00
51,KRNO,Reno/Tahoe International  Airport,US,NV,39.4833,-119.7667,9.4,,"[1.0, 0.8576615831517794, 0.0, 1.0]",2024-11-11 14:39:36+00:00,2024-11-11 00:46:12+00:00
52,KIND,Indianapolis International  Airport,US,IN,39.7167,-86.1167,13.4,,"[1.0, 0.6107480029048659, 0.0, 1.0]",2024-11-11 12:25:48+00:00,2024-11-10 22:31:12+00:00
53,KSPI,Springfield / Bando,US,IL,39.8442,-89.6781,12.7,,"[1.0, 0.6543209876543212, 0.0, 1.0]",2024-11-11 12:40:12+00:00,2024-11-10 22:45:00+00:00
54,KPHL,Philadelphia International Airport,US,PA,39.8667,-75.2333,19.2,,"[1.0, 0.24763979665940472, 0.0, 1.0]",2024-11-11 11:42:00+00:00,2024-11-10 21:47:24+00:00
55,KBJC,Denver / Broomfield / Countryside,US,CO,39.9088,-105.1172,0.2,,"[0.5534471853257431, 1.0, 0.4142947501581278, 1.0]",2024-11-11 13:42:00+00:00,2024-11-10 23:46:48+00:00
56,KOSU,Columbus / Linworth,US,OH,40.0798,-83.073,12.8,,"[1.0, 0.6543209876543212, 0.0, 1.0]",2024-11-11 12:14:24+00:00,2024-11-10 22:18:36+00:00
57,KPIT,Greater Pittsburgh International,US,PA,40.4833,-80.0667,12.9,,"[1.0, 0.6397966594045028, 0.0, 1.0]",2024-11-11 12:03:00+00:00,2024-11-10 22:05:24+00:00
58,KJRB,New York / Wall Street,US,NY,40.7012,-74.009,18.4,,"[1.0, 0.2912127814088604, 0.0, 1.0]",2024-11-11 11:39:00+00:00,2024-11-10 21:40:48+00:00
59,KSLC,Salt Lake City International  Airport,US,UT,40.7833,-111.9667,11.0,,"[1.0, 0.7559912854030507, 0.0, 1.0]",2024-11-11 14:11:24+00:00,2024-11-11 00:12:00+00:00
60,KLNK,Lincoln Municipal Airport,US,NE,40.8333,-96.7647,10.2,,"[1.0, 0.8140885984023241, 0.0, 1.0]",2024-11-11 13:10:48+00:00,2024-11-10 23:11:24+00:00
61,KLBF,North Platte Regional Airport,US,NE,41.1167,-100.6667,7.6,,"[0.9582542694497153, 0.973856209150327, 0.009487666034155628, 1.0]",2024-11-11 13:27:00+00:00,2024-11-10 23:26:24+00:00
62,KFEW,Cheyenne F E Warren / Warren Air Force Base,US,WY,41.1333,-104.8672,8.0,,"[0.9835547122074635, 0.9448075526506902, 0.0, 1.0]",2024-11-11 13:43:48+00:00,2024-11-10 23:43:12+00:00
63,KHVN,New Haven / Morris Cove,US,CT,41.2638,-72.8868,17.6,,"[1.0, 0.34931009440813376, 0.0, 1.0]",2024-11-11 11:36:00+00:00,2024-11-10 21:34:48+00:00
64,KOMA,Omaha Eppley Airfield,US,NE,41.3,-95.9,9.4,,"[1.0, 0.8576615831517794, 0.0, 1.0]",2024-11-11 13:08:24+00:00,2024-11-10 23:06:36+00:00
