id,name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end,distance
KIYA0,Abbeville / Grosse Isle,US,LA,,KIYA,29.9758,-92.0842,5,America/Chicago,2008-08-28,2024-10-05,2008-08-29,2022-04-24,2014-01-01,2022-01-01,2583110.077
74002,Aberdeen Proving Grounds,US,MD,74002,KAPG,39.5,-76.5667,5,America/New_York,2006-01-03,2024-10-05,2016-10-27,2022-04-22,2022-01-01,2022-01-01,2114029.729
72659,Aberdeen Regional Airport,US,SD,72659,KABR,45.45,-98.4167,397,America/Chicago,1973-01-01,2024-10-05,1893-01-01,2024-12-30,1893-01-01,2022-01-01,856966.2994
KM400,Aberdeen/Amory / Athens,US,MS,,KM40,33.8738,-88.4897,69,America/Chicago,2012-01-10,2024-10-05,2012-01-12,2022-04-24,2014-01-01,2022-01-01,2213412.346
KVJI0,Abington / Rust Hollow,US,VA,,KVJI,36.6871,-82.0333,636,America/New_York,2006-01-01,2024-10-05,2006-01-04,2022-04-25,2014-01-01,2022-01-01,2120964.26
72642,Acacia Falls Mobile Home Court,US,WI,72642,KSBM,43.78,-87.85,228,America/Chicago,2006-01-01,2024-10-05,2006-01-01,2022-04-25,2006-01-01,2022-01-01,1194099.727
70454,Adak Island Airport,US,AK,70454,PADK,51.8667,-176.6333,6,America/Adak,1942-10-30,2024-10-05,1942-10-01,2024-09-23,1942-01-01,2022-01-01,5158340.166
KADG0,Adrian / Maple Woods Manufactured Home Community,US,MI,,KADG,41.8677,-84.0773,243,America/Detroit,2006-01-01,2024-10-04,2006-01-01,2022-04-24,2006-01-01,2022-01-01,1532155.003
KAFO0,Afton,US,WY,,KAFO,42.7088,-110.9422,1896,America/Denver,2013-11-13,2024-10-05,2013-11-14,2022-04-24,2015-01-01,2022-01-01,1584809.739
KASJ0,Ahoskie / Woodland,US,NC,,KASJ,36.2975,-77.1709,20,America/New_York,2006-01-01,2024-10-05,2006-01-01,2022-04-24,2011-01-01,2022-01-01,2374070.667
KAIK0,Aiken / Seiglers Crossroads,US,SC,,KAIK,33.6494,-81.685,161,America/New_York,2009-01-05,2024-09-27,2009-01-06,2022-04-24,2015-01-01,2022-01-01,2440177.867
KANW0,Ainsworth / Sandridge,US,NE,,KANW,42.5792,-99.993,789,America/Chicago,2006-01-01,2024-10-05,2006-01-01,2022-04-24,2007-01-01,2022-01-01,1194870.538
