ORDEREDINDEX,LAT,LONG
0,27.9667,-82.5333
1,30.2347,-81.6746
2,25.7833,-80.3167
3,30.6833,-88.0667
4,30,-90.0833
5,29.714,-95.395
6,29.3842,-98.5812
7,30.3167,-97.7667
8,32.5402,-93.745
9,32.3348,-90.2225
10,33.5667,-86.75
11,33.7791,-84.5214
12,32.1167,-81.0333
13,32.701,-80.0033
14,33.9705,-80.9952
15,35.214,-80.9431
16,35.9638,-83.8737
17,36.1824,-86.8867
18,35.0333,-89.9833
19,34.478,-93.0962
20,32.8471,-96.8518
21,35.4167,-97.3833
22,36.2,-95.8881
23,37.2333,-93.05
24,38.5707,-90.1562
25,38.1833,-85.7333
26,38.3667,-81.6
27,37.3167,-79.9667
28,35.9,-78.7667
29,34.2706,-77.9026
30,37.5167,-77.3167
31,36.8227,-76.0319
32,39.2833,-76.6167
33,40.4833,-80.0667
34,40.0798,-83.073
35,39.7167,-86.1167
36,39.8442,-89.6781
37,39.1232,-94.5928
38,37.7476,-97.2211
39,35.2167,-101.7167
40,32.3375,-104.2633
41,31.8167,-106.3833
42,35.0333,-106.6
43,33.4333,-112.05
44,32.7333,-117.1833
45,33.8167,-118.15
46,36.2107,-115.1944
47,35.1403,-111.6693
48,39.4274,-101.0466
49,41.1167,-100.6667
50,41.5333,-93.6531
51,42.6894,-90.4444
52,41.7833,-87.75
53,42.955,-87.9044
54,42.8833,-85.5167
55,42.4092,-83.0099
56,42.9333,-78.7333
57,39.8667,-75.2333
58,40.7012,-74.009
59,41.2638,-72.8868
60,44.2167,-76.6
61,44.9346,-93.0603
62,43.5833,-96.75
63,42.8294,-103.0006
64,41.1333,-104.8672
65,39.9088,-105.1172
66,40.7833,-111.9667
67,39.4833,-119.7667
68,37.7167,-122.2333
69,36.7833,-119.7167
70,39.3313,-111.6127
71,39.1333,-108.5333
72,42.1561,-121.7332
73,43.5667,-116.2333
74,43.5137,-112.0708
75,43.6073,-110.7378
76,44.3827,-100.286
77,46.9333,-96.8167
78,46.8333,-92.2167
79,48.3667,-89.3167
80,48.57,-81.38
81,45.5,-73.58
82,44.2035,-72.5623
83,42.9296,-71.4356
84,42.3667,-71.0167
85,43.65,-70.1333
86,44.8074,-68.8281
87,45.32,-65.89
88,46.11,-64.68
89,44.6,-63.5333
90,46.29,-63.12
91,47.62,-52.75
92,48.94,-54.57
93,51.3833,-56.1
94,53.55,-64.1
95,58.09,-68.42
96,63.75,-68.55
97,49.89,-97.13
98,46.7833,-100.75
99,46.4333,-105.8833
100,46.6,-111.9667
101,46.3667,-117.0167
102,45.5833,-122.6
103,47.53,-122.302
104,47.6167,-117.5333
105,48.55,-109.7667
106,50.33,-105.54
107,51.12,-114.01
108,49.49,-117.31
109,49.19,-123.18
110,53.57,-113.52
111,56.65,-111.2167
112,58.84,-122.57
113,58.35,-134.5667
114,60.71,-135.07
115,62.46,-114.44
116,59.57,-108.48
117,55.8,-97.86
118,64.3,-96.08
119,69.11,-105.14
120,68.32,-133.52
121,64.5167,-165.4333
122,74.72,-94.97
123,79.99,-85.81
