ORDEREDINDEX,LAT,LONG
91,47.62,-52.75
92,48.94,-54.57
93,51.3833,-56.1
90,46.29,-63.12
89,44.6,-63.5333
94,53.55,-64.1
88,46.11,-64.68
87,45.32,-65.89
95,58.09,-68.42
96,63.75,-68.55
86,44.8074,-68.8281
85,43.65,-70.1333
84,42.3667,-71.0167
83,42.9296,-71.4356
82,44.2035,-72.5623
59,41.2638,-72.8868
81,45.5,-73.58
58,40.7012,-74.009
57,39.8667,-75.2333
31,36.8227,-76.0319
60,44.2167,-76.6
32,39.2833,-76.6167
30,37.5167,-77.3167
29,34.2706,-77.9026
56,42.9333,-78.7333
28,35.9,-78.7667
27,37.3167,-79.9667
13,32.701,-80.0033
33,40.4833,-80.0667
2,25.7833,-80.3167
15,35.214,-80.9431
14,33.9705,-80.9952
12,32.1167,-81.0333
80,48.57,-81.38
26,38.3667,-81.6
1,30.2347,-81.6746
0,27.9667,-82.5333
55,42.4092,-83.0099
34,40.0798,-83.073
16,35.9638,-83.8737
11,33.7791,-84.5214
54,42.8833,-85.5167
25,38.1833,-85.7333
123,79.99,-85.81
35,39.7167,-86.1167
10,33.5667,-86.75
17,36.1824,-86.8867
52,41.7833,-87.75
53,42.955,-87.9044
3,30.6833,-88.0667
79,48.3667,-89.3167
36,39.8442,-89.6781
18,35.0333,-89.9833
4,30,-90.0833
24,38.5707,-90.1562
9,32.3348,-90.2225
51,42.6894,-90.4444
78,46.8333,-92.2167
23,37.2333,-93.05
61,44.9346,-93.0603
19,34.478,-93.0962
50,41.5333,-93.6531
8,32.5402,-93.745
37,39.1232,-94.5928
122,74.72,-94.97
5,29.6375,-95.2825
22,36.2,-95.8881
118,64.3,-96.08
62,43.6168,-96.2177
77,46.9333,-96.8167
20,32.8471,-96.8518
97,49.89,-97.13
38,37.7476,-97.2211
21,35.4167,-97.3833
7,30.3167,-97.7667
117,55.8,-97.86
6,29.3842,-98.5812
76,44.3827,-100.286
49,41.1167,-100.6667
98,46.7833,-100.75
48,39.4274,-101.0466
39,35.2167,-101.7167
63,42.8294,-103.0006
40,32.3375,-104.2633
64,41.1333,-104.8672
65,39.9088,-105.1172
119,69.11,-105.14
106,50.33,-105.54
99,46.4333,-105.8833
41,31.8167,-106.3833
42,35.0333,-106.6
116,59.57,-108.48
71,39.1333,-108.5333
105,48.55,-109.7667
75,43.6073,-110.7378
111,56.65,-111.2167
70,39.3313,-111.6127
47,35.1403,-111.6693
66,40.7833,-111.9667
100,46.6,-111.9667
43,33.4333,-112.05
74,43.5137,-112.0708
110,53.57,-113.52
107,51.12,-114.01
115,62.46,-114.44
46,36.2107,-115.1944
73,43.5667,-116.2333
101,46.3667,-117.0167
44,32.7333,-117.1833
108,49.49,-117.31
104,47.6167,-117.5333
45,33.8167,-118.15
69,36.7833,-119.7167
67,39.4833,-119.7667
72,42.1561,-121.7332
68,37.7167,-122.2333
103,47.53,-122.302
112,58.84,-122.57
102,45.5833,-122.6
109,49.19,-123.18
120,68.32,-133.52
113,58.35,-134.5667
114,60.71,-135.07
121,64.5167,-165.4333
