ORDEREDINDEX,LAT,LONG
2,25.7833,-80.3167
0,27.9667,-82.5333
6,29.3842,-98.5812
5,29.6375,-95.2825
4,30,-90.0833
1,30.2347,-81.6746
7,30.3167,-97.7667
3,30.6833,-88.0667
41,31.8167,-106.3833
12,32.1167,-81.0333
9,32.3348,-90.2225
40,32.3375,-104.2633
8,32.5402,-93.745
13,32.701,-80.0033
44,32.7333,-117.1833
20,32.8471,-96.8518
43,33.4333,-112.05
10,33.5667,-86.75
11,33.7791,-84.5214
45,33.8167,-118.15
14,33.9705,-80.9952
29,34.2706,-77.9026
19,34.478,-93.0962
18,35.0333,-89.9833
42,35.0333,-106.6
47,35.1403,-111.6693
15,35.214,-80.9431
39,35.2167,-101.7167
21,35.4167,-97.3833
28,35.9,-78.7667
16,35.9638,-83.8737
17,36.1824,-86.8867
22,36.2,-95.8881
46,36.2107,-115.1944
69,36.7833,-119.7167
31,36.8227,-76.0319
23,37.2333,-93.05
27,37.3167,-79.9667
30,37.5167,-77.3167
68,37.7167,-122.2333
38,37.7476,-97.2211
25,38.1833,-85.7333
26,38.3667,-81.6
24,38.5707,-90.1562
37,39.1232,-94.5928
71,39.1333,-108.5333
32,39.2833,-76.6167
70,39.3313,-111.6127
48,39.4274,-101.0466
67,39.4833,-119.7667
35,39.7167,-86.1167
36,39.8442,-89.6781
57,39.8667,-75.2333
65,39.9088,-105.1172
34,40.0798,-83.073
33,40.4833,-80.0667
58,40.7012,-74.009
66,40.7833,-111.9667
49,41.1167,-100.6667
64,41.1333,-104.8672
59,41.2638,-72.8868
50,41.5333,-93.6531
52,41.7833,-87.75
72,42.1561,-121.7332
84,42.3667,-71.0167
55,42.4092,-83.0099
51,42.6894,-90.4444
63,42.8294,-103.0006
54,42.8833,-85.5167
83,42.9296,-71.4356
56,42.9333,-78.7333
53,42.955,-87.9044
74,43.5137,-112.0708
73,43.5667,-116.2333
75,43.6073,-110.7378
62,43.6168,-96.2177
85,43.65,-70.1333
82,44.2035,-72.5623
60,44.2167,-76.6
76,44.3827,-100.286
89,44.6,-63.5333
86,44.8074,-68.8281
61,44.9346,-93.0603
87,45.32,-65.89
81,45.5,-73.58
102,45.5833,-122.6
88,46.11,-64.68
90,46.29,-63.12
101,46.3667,-117.0167
99,46.4333,-105.8833
100,46.6,-111.9667
98,46.7833,-100.75
78,46.8333,-92.2167
77,46.9333,-96.8167
103,47.53,-122.302
104,47.6167,-117.5333
91,47.62,-52.75
79,48.3667,-89.3167
105,48.55,-109.7667
80,48.57,-81.38
92,48.94,-54.57
109,49.19,-123.18
108,49.49,-117.31
97,49.89,-97.13
106,50.33,-105.54
107,51.12,-114.01
93,51.3833,-56.1
94,53.55,-64.1
110,53.57,-113.52
117,55.8,-97.86
111,56.65,-111.2167
95,58.09,-68.42
113,58.35,-134.5667
112,58.84,-122.57
116,59.57,-108.48
114,60.71,-135.07
115,62.46,-114.44
96,63.75,-68.55
118,64.3,-96.08
121,64.5167,-165.4333
120,68.32,-133.52
119,69.11,-105.14
122,74.72,-94.97
123,79.99,-85.81
